table,strategy,confidence,score,rows,watermark_column,primary_keys,timestamp_columns,implementation_notes
Pie_Fac,FULL_REPLACE,HIGH,-5,107634,,,,Full table replacement recommended. Simple and reliable approach
Pie_Fac_ML,FULL_REPLACE,HIGH,-5,107634,,,,Full table replacement recommended. Simple and reliable approach
Recambios,FULL_REPLACE,HIGH,-20,22,,,,Full table replacement recommended. Simple and reliable approach
accesos_presencia,INCREMENTAL_PREFERRED,HIGH,90,10946,fecha,"ic_codigo, ic_cod_usu, ic_cod_ofi","fecha, f_fec_mod, fecha_crea",Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
agenda,INCREMENTAL_POSSIBLE,MEDIUM,65,301,fecha_ini,"ic_ano, ic_cod_age, ic_cod_ofi","fecha_ini, fecha_fin",Incremental loading feasible with 'fecha_ini'. Consider data volume and update patterns to decide vs full replace
agenda_usuarios,INCREMENTAL_CHALLENGING,MEDIUM,30,820,,"ic_ano, ic_cod_age, ic_cod_ofi, ic_cod_usu",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
alb_cli,INCREMENTAL_CHALLENGING,MEDIUM,20,20607,,"ic_cod_ofi, ic_ano, ic_cod_alb",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
alb_cli_lin,INCREMENTAL_CHALLENGING,MEDIUM,20,44027,,"ic_cod_ofi, ic_ano, ic_cod_alb, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
alb_pro,INCREMENTAL_CHALLENGING,MEDIUM,20,85624,,"ic_cod_ofi, ic_ano, ic_cod_alb",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
alb_pro_lin,INCREMENTAL_CHALLENGING,MEDIUM,20,124338,,"ic_cod_ofi, ic_ano, ic_cod_alb, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
alm,FULL_REPLACE,HIGH,15,40,,ic_cod_alm,,Full table replacement recommended. Simple and reliable approach
alm_coste,FULL_REPLACE,HIGH,5,16149,,"ic_cod_alm, cc_cod_pie, ic_orden",,Full table replacement recommended. Simple and reliable approach
alm_his_1,INCREMENTAL_CHALLENGING,MEDIUM,25,306612,,"ic_ano, ic_cod_alm, cc_cod_pie, ic_cod_ofi, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
alm_his_2,INCREMENTAL_CHALLENGING,MEDIUM,25,164979,,"ic_ano, ic_cod_alm, cc_cod_pie, ic_cod_ofi, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
alm_his_4,INCREMENTAL_CHALLENGING,MEDIUM,25,0,,"ic_ano, ic_cod_alm, cc_cod_pie, ic_cod_ofi, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
alm_lug_alt,FULL_REPLACE,HIGH,5,278,,"ic_cod_lug, ic_cod_ofi, ic_cod_alm",,Full table replacement recommended. Simple and reliable approach
alm_lug_caj,FULL_REPLACE,HIGH,5,201,,"ic_cod_lug, ic_cod_ofi, ic_cod_alm",,Full table replacement recommended. Simple and reliable approach
alm_lug_est,FULL_REPLACE,HIGH,5,278,,"ic_cod_lug, ic_cod_ofi, ic_cod_alm",,Full table replacement recommended. Simple and reliable approach
alm_lug_mod,FULL_REPLACE,HIGH,5,402,,"ic_cod_lug, ic_cod_ofi, ic_cod_alm",,Full table replacement recommended. Simple and reliable approach
alm_mov,INCREMENTAL_CHALLENGING,MEDIUM,30,7,,ic_cod_mov,,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
alm_ofi,FULL_REPLACE,HIGH,5,160,,"ic_cod_ofi, ic_cod_alm",,Full table replacement recommended. Simple and reliable approach
alm_pie_1,FULL_REPLACE,HIGH,5,96240,,"ic_cod_alm, cc_cod_pie, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
alm_pie_2,FULL_REPLACE,HIGH,5,40509,,"ic_cod_alm, cc_cod_pie, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
alm_pie_4,FULL_REPLACE,HIGH,5,0,,"ic_cod_alm, cc_cod_pie, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
audit_errores,INCREMENTAL_PREFERRED,HIGH,120,0,f_fecha,id,f_fecha,Implement incremental loading using 'f_fecha' as watermark column. Query: SELECT * FROM table WHERE f_fecha > last_run_timestamp
audit_ia,INCREMENTAL_PREFERRED,HIGH,120,15371,timestamp,ic_cod_log,"timestamp, fecha",Implement incremental loading using 'timestamp' as watermark column. Query: SELECT * FROM table WHERE timestamp > last_run_timestamp
audit_ia_tipo,INCREMENTAL_POSSIBLE,MEDIUM,60,2,,ic_cod_tipo,,Incremental loading possible but may require custom logic or composite keys
avi_comen,INCREMENTAL_POSSIBLE,MEDIUM,65,67288,f_fecha,"ic_ano, ic_cod_avi, ic_cod_ofi, ic_cod_usu, ic_linea",f_fecha,Incremental loading feasible with 'f_fecha'. Consider data volume and update patterns to decide vs full replace
avi_comen_rec,INCREMENTAL_POSSIBLE,MEDIUM,65,8525,f_fecha,"ic_ano, ic_cod_avi, ic_cod_ofi, ic_cod_usu, ic_linea","f_fecha, f_fecha_prev, f_fecha_ent",Incremental loading feasible with 'f_fecha'. Consider data volume and update patterns to decide vs full replace
avi_comen_rec_est,FULL_REPLACE,HIGH,15,13,,ic_cod_est,,Full table replacement recommended. Simple and reliable approach
avi_comen_rec_his_dev,INCREMENTAL_PREFERRED,HIGH,110,173,fecha,"ic_codigo, ic_ano, ic_cod_avi, ic_cod_ofi, ic_linea",fecha,Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
avi_comen_rec_his_est,INCREMENTAL_PREFERRED,HIGH,110,23392,fecha,"ic_codigo, ic_ano, ic_cod_avi, ic_cod_ofi, ic_linea",fecha,Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
avi_comen_rec_pri,FULL_REPLACE,HIGH,15,3,,ic_cod_pri,,Full table replacement recommended. Simple and reliable approach
avi_comen_rec_tip,FULL_REPLACE,HIGH,15,2,,ic_cod_tip,,Full table replacement recommended. Simple and reliable approach
avi_estados,INCREMENTAL_CHALLENGING,MEDIUM,25,9,,ic_cod_est,,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
avi_gar,FULL_REPLACE,HIGH,5,0,,"ic_ano, ic_cod_avi",,Full table replacement recommended. Simple and reliable approach
avi_his_est,INCREMENTAL_PREFERRED,HIGH,110,163049,fecha,"ic_codigo, ic_ano, ic_cod_avi, ic_cod_ofi",fecha,Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
avi_his_porcentajes,INCREMENTAL_PREFERRED,HIGH,110,3561,fecha,"ic_codigo, ic_ano, ic_cod_avi, ic_cod_ofi",fecha,Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
avi_his_revisiones,INCREMENTAL_PREFERRED,HIGH,110,74403,fecha,"ic_codigo, ic_ano, ic_cod_avi, ic_cod_ofi",fecha,Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
avi_hor_fac,INCREMENTAL_CHALLENGING,MEDIUM,20,81455,,"ic_ano, ic_cod_avi, ic_cod_ofi, ic_cod_usu, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
avi_horas,FULL_REPLACE,HIGH,5,308104,,"ic_ano, ic_cod_avi, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
avi_jobs,FULL_REPLACE,HIGH,5,19,,"ic_ano, ic_cod_avi, ic_cod_ofi, ic_cod_job",,Full table replacement recommended. Simple and reliable approach
avi_lineas,FULL_REPLACE,HIGH,5,373446,,"ic_ano, ic_cod_avi, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
avi_lineas_,FULL_REPLACE,HIGH,5,29755,,"ic_ano, ic_cod_avi, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
avi_meta,FULL_REPLACE,HIGH,5,57796,,"ic_ano, ic_cod_avi, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
avi_motivos_parada,INCREMENTAL_POSSIBLE,MEDIUM,40,4,,ic_cod_mot,,Incremental loading possible but may require custom logic or composite keys
avi_obs,FULL_REPLACE,HIGH,5,252756,,"ic_ano, ic_cod_avi, ic_cod_ofi, ic_cod_tip, ic_linea",,Full table replacement recommended. Simple and reliable approach
avi_obs_,FULL_REPLACE,HIGH,5,5596,,"ic_ano, ic_cod_avi, ic_cod_ofi, ic_cod_tip, ic_linea",,Full table replacement recommended. Simple and reliable approach
avi_tip_fic,FULL_REPLACE,HIGH,15,18,,ic_cod_tip,,Full table replacement recommended. Simple and reliable approach
avi_tipos,FULL_REPLACE,HIGH,0,20,,ic_cod_tip,,Full table replacement recommended. Simple and reliable approach
avisos,INCREMENTAL_POSSIBLE,MEDIUM,65,76202,f_fec_rev_rec,"ic_ano, ic_cod_avi, ic_cod_ofi",f_fec_rev_rec,Incremental loading feasible with 'f_fec_rev_rec'. Consider data volume and update patterns to decide vs full replace
avisos_,FULL_REPLACE,HIGH,5,4362,,"ic_ano, ic_cod_avi, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
bancos,FULL_REPLACE,HIGH,5,12,,"ic_cod_ban, ic_cod_suc",,Full table replacement recommended. Simple and reliable approach
bd_config_planificador,FULL_REPLACE,HIGH,-10,4,,"ic_codigo, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
bd_config_tareas,FULL_REPLACE,HIGH,-10,4,,"ic_codigo, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
campanas,FULL_REPLACE,HIGH,15,3,,ic_cod_cam,,Full table replacement recommended. Simple and reliable approach
campanas_lineas,FULL_REPLACE,HIGH,5,2,,"ic_cod_cam, ic_linea",,Full table replacement recommended. Simple and reliable approach
categorias,FULL_REPLACE,HIGH,0,27,,cc_cod_cat,,Full table replacement recommended. Simple and reliable approach
con_diario,FULL_REPLACE,HIGH,5,302060,,"ic_ano, ic_cod_asi, ic_cod_apu, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
con_letras,FULL_REPLACE,HIGH,15,15,,ic_cod_let,,Full table replacement recommended. Simple and reliable approach
con_subctas,FULL_REPLACE,HIGH,5,172,,"cc_cod_sub, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
con_tipos,FULL_REPLACE,HIGH,0,0,,ic_cod_tip,,Full table replacement recommended. Simple and reliable approach
con_tmp,FULL_REPLACE,HIGH,5,58,,"ic_cod_asi, ic_cod_apu, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
contratos,INCREMENTAL_POSSIBLE,MEDIUM,65,15299,fecha,"ic_ano, ic_cod_con, ic_cod_ofi","fecha, fecha_fir1, fecha_fir2, fecha_fir3, fecha_fir_sal, fecha_fir_ract, fecha_prevista_entrada, fecha_prevista_salida, fecha_entrada, fecha_salida, f_last_service",Incremental loading feasible with 'fecha'. Consider data volume and update patterns to decide vs full replace
contratos_estados,FULL_REPLACE,HIGH,0,6,,ic_cod_est,,Full table replacement recommended. Simple and reliable approach
contratos_insertar,FULL_REPLACE,HIGH,5,918,,"ic_ano, ic_cod_con",,Full table replacement recommended. Simple and reliable approach
contratos_log,INCREMENTAL_PREFERRED,HIGH,120,3724,fecha,id,fecha,Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
contratos_ra,INCREMENTAL_POSSIBLE,MEDIUM,65,0,f_fecha_matriculacion,"ic_cod_ofi, ic_ano, ic_cod_con","f_fecha_matriculacion, f_fecha_recepcion",Incremental loading feasible with 'f_fecha_matriculacion'. Consider data volume and update patterns to decide vs full replace
contratos_ra_lineas,FULL_REPLACE,HIGH,5,139581,,"ic_cod_ofi, ic_ano, ic_cod_con, id",,Full table replacement recommended. Simple and reliable approach
danos_jobs,FULL_REPLACE,HIGH,15,9,,ic_cod_job,,Full table replacement recommended. Simple and reliable approach
danos_subzonas,FULL_REPLACE,HIGH,5,406,,"ic_cod_zon, ic_cod_sub",,Full table replacement recommended. Simple and reliable approach
danos_zonas,FULL_REPLACE,HIGH,15,80,,ic_cod_zon,,Full table replacement recommended. Simple and reliable approach
danos_zonas_lineas,FULL_REPLACE,HIGH,5,1220,,"ic_cod_zon, ic_cod_sub, ic_linea",,Full table replacement recommended. Simple and reliable approach
docs,FULL_REPLACE,HIGH,5,5359,,"ic_cod_doc, ic_cod_ofi, ic_cod_tip",,Full table replacement recommended. Simple and reliable approach
docs_albcli,INCREMENTAL_CHALLENGING,MEDIUM,20,168,,"ic_cod_doc, ic_cod_ofi, ic_cod_tip",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
docs_albpro,INCREMENTAL_CHALLENGING,MEDIUM,20,2,,"ic_cod_doc, ic_cod_ofi, ic_cod_tip",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
docs_comu,FULL_REPLACE,HIGH,5,4,,"ic_cod_doc, ic_cod_ofi, ic_cod_tip, ic_linea",,Full table replacement recommended. Simple and reliable approach
docs_pro,FULL_REPLACE,HIGH,5,61,,"ic_cod_doc, ic_cod_ofi, ic_cod_tip",,Full table replacement recommended. Simple and reliable approach
docs_tipos,FULL_REPLACE,HIGH,0,6,,ic_cod_tip,,Full table replacement recommended. Simple and reliable approach
dto_cli_fam,FULL_REPLACE,HIGH,5,581,,"ic_cod_ofi, ic_cod_cli, ic_cod_fam",,Full table replacement recommended. Simple and reliable approach
dto_cli_pie,FULL_REPLACE,HIGH,5,228,,"ic_cod_ofi, ic_cod_cli, cc_cod_pie",,Full table replacement recommended. Simple and reliable approach
dto_cli_sub_fam,FULL_REPLACE,HIGH,5,2,,"ic_cod_ofi, ic_cod_cli, ic_cod_fam, ic_cod_sub",,Full table replacement recommended. Simple and reliable approach
dto_cli_tipos,FULL_REPLACE,HIGH,0,18,,ic_cod_tip,,Full table replacement recommended. Simple and reliable approach
dto_cli_tipos_fam,FULL_REPLACE,HIGH,-10,0,,"ic_cod_tip, ic_cod_fam",,Full table replacement recommended. Simple and reliable approach
dto_cli_tipos_margen,FULL_REPLACE,HIGH,-10,0,,"ic_cod_tip, ic_cod_tra",,Full table replacement recommended. Simple and reliable approach
dto_cli_tipos_pie,FULL_REPLACE,HIGH,-10,0,,"ic_cod_tip, cc_cod_pie",,Full table replacement recommended. Simple and reliable approach
dto_cli_tipos_sub_fam,FULL_REPLACE,HIGH,-10,491,,"ic_cod_tip, ic_cod_fam, ic_cod_sub",,Full table replacement recommended. Simple and reliable approach
dto_cli_tramos,FULL_REPLACE,HIGH,5,0,,"ic_cod_ofi, ic_cod_cli, ic_cod_tra",,Full table replacement recommended. Simple and reliable approach
ent_cli,FULL_REPLACE,HIGH,5,5340,,"ic_cod_cli, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
ent_cli_ban,INCREMENTAL_CHALLENGING,MEDIUM,30,0,,"ic_cod_cli, ic_cod_ofi, ic_cod_ban, ic_cod_suc, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
ent_cli_blo,FULL_REPLACE,HIGH,5,2390,,"ic_cod_cli, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
ent_cli_com,FULL_REPLACE,HIGH,5,1160,,"ic_cod_cli, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
ent_cli_con,FULL_REPLACE,HIGH,5,763,,"ic_cod_cli, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
ent_cli_des,FULL_REPLACE,HIGH,-20,102,,,,Full table replacement recommended. Simple and reliable approach
ent_cli_doc,FULL_REPLACE,HIGH,5,2777,,"ic_cod_cli, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
ent_cli_doc_tip,FULL_REPLACE,HIGH,15,7,,ic_cod_tip,,Full table replacement recommended. Simple and reliable approach
ent_cli_fam,FULL_REPLACE,HIGH,15,8,,ic_cod_fam,,Full table replacement recommended. Simple and reliable approach
ent_cli_fam_des,FULL_REPLACE,HIGH,5,8,,"ic_cod_cla, ic_linea",,Full table replacement recommended. Simple and reliable approach
ent_cli_origen,INCREMENTAL_POSSIBLE,MEDIUM,40,11,,ic_cod_ori,,Incremental loading possible but may require custom logic or composite keys
ent_cli_rie,FULL_REPLACE,HIGH,5,5215,,"ic_cod_cli, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
ent_pro,FULL_REPLACE,HIGH,5,1540,,"ic_cod_pro, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
ent_pro_blo,FULL_REPLACE,HIGH,5,14,,"ic_cod_pro, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
ent_pro_fam,FULL_REPLACE,HIGH,15,1,,ic_cod_fam,,Full table replacement recommended. Simple and reliable approach
errores_ia,INCREMENTAL_PREFERRED,HIGH,100,622,timestamp,ic_cod_err,"timestamp, fecha",Implement incremental loading using 'timestamp' as watermark column. Query: SELECT * FROM table WHERE timestamp > last_run_timestamp
fac_cli,INCREMENTAL_CHALLENGING,MEDIUM,20,54189,,"ic_cod_ofi, ic_ano, ic_cod_fac, ic_cod_let",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
fac_cli_aut,INCREMENTAL_CHALLENGING,MEDIUM,20,36553,,"ic_cod_ofi, ic_ano, ic_cod_fac, ic_cod_let, ic_fac, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
fac_cli_est,INCREMENTAL_CHALLENGING,MEDIUM,30,3,,ic_cod_est,,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
fac_cli_firmas,INCREMENTAL_PREFERRED,HIGH,80,26366,f_fecha,"ic_cod_ofi, ic_ano, ic_cod_fac, ic_cod_let, ic_linea","f_fecha, f_fecha_firma, f_fecha_envio",Implement incremental loading using 'f_fecha' as watermark column. Query: SELECT * FROM table WHERE f_fecha > last_run_timestamp
fac_cli_lin,INCREMENTAL_CHALLENGING,MEDIUM,20,60103,,"ic_cod_ofi, ic_ano, ic_cod_fac, ic_cod_let, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
